EP, 20, 2018092300,   , BEST,   0, 127N,  985W,  20,    0, DB,   0,    ,    0,    0,    0,    0, 
EP, 20, 2018092700,   , BEST,   0, 168N, 1126W,  75,  982, HU,  34, NEQ,   90,   70,   60,   60, 1008,  240,  15,  90,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  150,  120,   90,  120, 
EP, 20, 2018092700,   , BEST,   0, 168N, 1126W,  75,  982, HU,  50, NEQ,   50,   30,   20,   30, 1008,  240,  15,  90,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  150,  120,   90,  120, 
EP, 20, 2018092700,   , BEST,   0, 168N, 1126W,  75,  982, HU,  64, NEQ,   25,   10,   10,   20, 1008,  240,  15,  90,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  150,  120,   90,  120, 
EP, 20, 2018092706,   , BEST,   0, 170N, 1136W,  80,  979, HU,  34, NEQ,   90,   70,   60,   60, 1008,  240,  15,  90,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  150,  120,   90,  120, 
EP, 20, 2018092706,   , BEST,   0, 170N, 1136W,  80,  979, HU,  50, NEQ,   50,   30,   20,   30, 1008,  240,  15,  90,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  150,  120,   90,  120, 
EP, 20, 2018092706,   , BEST,   0, 170N, 1136W,  80,  979, HU,  64, NEQ,   25,   10,   10,   20, 1008,  240,  15,  90,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  150,  120,   90,  120, 
EP, 20, 2018092712,   , BEST,   0, 170N, 1146W,  90,  971, HU,  34, NEQ,   90,   70,   60,   60, 1008,  240,  15, 105,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  180,  180,  150,  150, 
EP, 20, 2018092712,   , BEST,   0, 170N, 1146W,  90,  971, HU,  50, NEQ,   50,   30,   20,   30, 1008,  240,  15, 105,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  180,  180,  150,  150, 
EP, 20, 2018092712,   , BEST,   0, 170N, 1146W,  90,  971, HU,  64, NEQ,   25,   10,   10,   20, 1008,  240,  15, 105,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  180,  180,  150,  150, 
EP, 20, 2018092718,   , BEST,   0, 170N, 1155W, 105,  957, HU,  34, NEQ,  100,   70,   60,   90, 1008,  240,  15, 130,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  180,  180,  150,  150, 
EP, 20, 2018092718,   , BEST,   0, 170N, 1155W, 105,  957, HU,  50, NEQ,   50,   30,   20,   40, 1008,  240,  15, 130,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  180,  180,  150,  150, 
EP, 20, 2018092718,   , BEST,   0, 170N, 1155W, 105,  957, HU,  64, NEQ,   30,   15,   15,   20, 1008,  240,  15, 130,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  180,  180,  150,  150, 
EP, 20, 2018092800,   , BEST,   0, 169N, 1164W, 125,  940, HU,  34, NEQ,  110,   80,   70,   90, 1008,  240,  15, 150,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  180,  150,  210, 
EP, 20, 2018092800,   , BEST,   0, 169N, 1164W, 125,  940, HU,  50, NEQ,   60,   40,   30,   40, 1008,  240,  15, 150,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  180,  150,  210, 
EP, 20, 2018092800,   , BEST,   0, 169N, 1164W, 125,  940, HU,  64, NEQ,   35,   20,   20,   25, 1008,  240,  15, 150,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  180,  150,  210, 
EP, 20, 2018092806,   , BEST,   0, 169N, 1171W, 125,  940, HU,  34, NEQ,  100,  100,   90,   80, 1008,  240,  15, 150,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  180,  180,  210, 
EP, 20, 2018092806,   , BEST,   0, 169N, 1171W, 125,  940, HU,  50, NEQ,   60,   50,   40,   40, 1008,  240,  15, 150,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  180,  180,  210, 
EP, 20, 2018092806,   , BEST,   0, 169N, 1171W, 125,  940, HU,  64, NEQ,   35,   20,   20,   25, 1008,  240,  15, 150,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  180,  180,  210, 
EP, 20, 2018092812,   , BEST,   0, 170N, 1175W, 120,  942, HU,  34, NEQ,  100,  100,   90,   80, 1008,  240,  15, 145,  30,   E,   0,    ,   0,   0,       ROSA, D,  0,    ,    0,    0,    0,    0, 
EP, 20, 2018092812,   , BEST,   0, 170N, 1175W, 120,  942, HU,  50, NEQ,   60,   50,   40,   40, 1008,  240,  15, 145,  30,   E,   0,    ,   0,   0,       ROSA, D,  0,    ,    0,    0,    0,    0, 
EP, 20, 2018092812,   , BEST,   0, 170N, 1175W, 120,  942, HU,  64, NEQ,   35,   20,   20,   25, 1008,  240,  15, 145,  30,   E,   0,    ,   0,   0,       ROSA, D,  0,    ,    0,    0,    0,    0, 
EP, 20, 2018092818,   , BEST,   0, 174N, 1178W, 105,  955, HU,  34, NEQ,  110,  160,   80,  110, 1008,  240,  20, 130,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  180,  180,  180,  210, 
EP, 20, 2018092818,   , BEST,   0, 174N, 1178W, 105,  955, HU,  50, NEQ,   60,   60,   40,   60, 1008,  240,  20, 130,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  180,  180,  180,  210, 
EP, 20, 2018092818,   , BEST,   0, 174N, 1178W, 105,  955, HU,  64, NEQ,   30,   30,   20,   30, 1008,  240,  20, 130,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  180,  180,  180,  210, 
EP, 20, 2018092900,   , BEST,   0, 179N, 1180W,  95,  964, HU,  34, NEQ,  110,  160,   80,  110, 1008,  240,  20, 115,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  180,  180,  210, 
EP, 20, 2018092900,   , BEST,   0, 179N, 1180W,  95,  964, HU,  50, NEQ,   60,   60,   40,   60, 1008,  240,  20, 115,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  180,  180,  210, 
EP, 20, 2018092900,   , BEST,   0, 179N, 1180W,  95,  964, HU,  64, NEQ,   30,   30,   20,   30, 1008,  240,  20, 115,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  180,  180,  210, 
EP, 20, 2018092906,   , BEST,   0, 188N, 1182W,  85,  971, HU,  34, NEQ,  120,  140,   70,  100, 1008,  240,  20, 105,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  270,  240,  240, 
EP, 20, 2018092906,   , BEST,   0, 188N, 1182W,  85,  971, HU,  50, NEQ,   50,   50,   30,   50, 1008,  240,  20, 105,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  270,  240,  240, 
EP, 20, 2018092906,   , BEST,   0, 188N, 1182W,  85,  971, HU,  64, NEQ,   25,   25,   20,   20, 1008,  240,  20, 105,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  270,  240,  240, 
EP, 20, 2018092912,   , BEST,   0, 197N, 1184W,  85,  971, HU,  34, NEQ,  120,  140,   70,  100, 1008,  240,  20, 105,  40,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  240,  210,  240, 
EP, 20, 2018092912,   , BEST,   0, 197N, 1184W,  85,  971, HU,  50, NEQ,   50,   50,   30,   50, 1008,  240,  20, 105,  40,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  240,  210,  240, 
EP, 20, 2018092912,   , BEST,   0, 197N, 1184W,  85,  971, HU,  64, NEQ,   25,   25,   20,   20, 1008,  240,  20, 105,  40,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  240,  210,  240, 
EP, 20, 2018092918,   , BEST,   0, 207N, 1187W,  90,  968, HU,  34, NEQ,  120,  140,   70,  100, 1008,  240,  20, 110,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  240,  210,  240, 
EP, 20, 2018092918,   , BEST,   0, 207N, 1187W,  90,  968, HU,  50, NEQ,   50,   50,   30,   50, 1008,  240,  20, 110,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  240,  210,  240, 
EP, 20, 2018092918,   , BEST,   0, 207N, 1187W,  90,  968, HU,  64, NEQ,   25,   25,   20,   20, 1008,  240,  20, 110,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  240,  210,  240, 
EP, 20, 2018093000,   , BEST,   0, 218N, 1189W,  85,  969, HU,  34, NEQ,  120,  130,   70,  100, 1007,  210,  20, 105,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  240,  210,  210, 
EP, 20, 2018093000,   , BEST,   0, 218N, 1189W,  85,  969, HU,  50, NEQ,   50,   50,   30,   50, 1007,  210,  20, 105,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  240,  210,  210, 
EP, 20, 2018093000,   , BEST,   0, 218N, 1189W,  85,  969, HU,  64, NEQ,   25,   25,   20,   20, 1007,  210,  20, 105,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  240,  210,  210, 
EP, 20, 2018093006,   , BEST,   0, 228N, 1189W,  80,  972, HU,  34, NEQ,  120,  130,   70,  100, 1007,  210,  20, 100,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  240,  210,  210, 
EP, 20, 2018093006,   , BEST,   0, 228N, 1189W,  80,  972, HU,  50, NEQ,   50,   50,   30,   40, 1007,  210,  20, 100,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  240,  210,  210, 
EP, 20, 2018093006,   , BEST,   0, 228N, 1189W,  80,  972, HU,  64, NEQ,   25,   25,    0,   20, 1007,  210,  20, 100,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  240,  210,  210, 
EP, 20, 2018093012,   , BEST,   0, 238N, 1188W,  65,  982, HU,  34, NEQ,  120,  130,   70,  100, 1008,  210,  20,  80,   0,   E,   0,    ,   0,   0,       ROSA, D,  0,    ,    0,    0,    0,    0, 
EP, 20, 2018093012,   , BEST,   0, 238N, 1188W,  65,  982, HU,  50, NEQ,   50,   50,   30,   40, 1008,  210,  20,  80,   0,   E,   0,    ,   0,   0,       ROSA, D,  0,    ,    0,    0,    0,    0, 
EP, 20, 2018093012,   , BEST,   0, 238N, 1188W,  65,  982, HU,  64, NEQ,   25,   25,    0,   20, 1008,  210,  20,  80,   0,   E,   0,    ,   0,   0,       ROSA, D,  0,    ,    0,    0,    0,    0, 
EP, 20, 2018093018,   , BEST,   0, 247N, 1184W,  65,  982, HU,  34, NEQ,  120,  130,  100,  110, 1008,  210,  25,  80,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  270,  240,  210, 
EP, 20, 2018093018,   , BEST,   0, 247N, 1184W,  65,  982, HU,  50, NEQ,   50,   70,   30,   40, 1008,  210,  25,  80,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  270,  240,  210, 
EP, 20, 2018093018,   , BEST,   0, 247N, 1184W,  65,  982, HU,  64, NEQ,   25,   25,    0,   20, 1008,  210,  25,  80,   0,   E,   0,    ,   0,   0,       ROSA, D, 12, NEQ,  210,  270,  240,  210, 
EP, 20, 2018100100,   , BEST,   0, 256N, 1179W,  55,  989, TS,  34, NEQ,  110,  130,   90,  110, 1008,  210,  50,  65,   0,   E,   0,    ,   0,   0,       ROSA, M, 12, NEQ,  210,  270,  240,  210, 
EP, 20, 2018100100,   , BEST,   0, 256N, 1179W,  55,  989, TS,  50, NEQ,   50,   60,    0,   40, 1008,  210,  50,  65,   0,   E,   0,    ,   0,   0,       ROSA, M, 12, NEQ,  210,  270,  240,  210, 
EP, 20, 2018100106,   , BEST,   0, 263N, 1173W,  45,  994, TS,  34, NEQ,  110,  130,   50,   70, 1008,  210,  50,  55,   0,   E,   0,    ,   0,   0,       ROSA, M, 12, NEQ,  210,  210,  150,  210, 
EP, 20, 2018100112,   , BEST,   0, 271N, 1167W,  40, 1000, TS,  34, NEQ,  110,  130,   50,   70, 1008,  210,  50,  50,   0,   E,   0,    ,   0,   0,       ROSA, M, 12, NEQ,  180,  180,  120,  180, 
EP, 20, 2018100118,   , BEST,   0, 278N, 1163W,  35, 1002, TS,  34, NEQ,  110,  130,   50,   70, 1008,  210,  50,  45,   0,   E,   0,    ,   0,   0,       ROSA, M,  0,    ,    0,    0,    0,    0, 
EP, 20, 2018100200,   , BEST,   0, 283N, 1157W,  35, 1001, TS,  34, NEQ,   90,  130,   50,    0, 1008,  210,  50,  45,   0,   E,   0,    ,   0,   0,       ROSA, M, 12, NEQ,  120,  180,  180,  120, 
EP, 20, 2018100206,   , BEST,   0, 289N, 1151W,  30, 1003, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  50,  40,   0,   E,   0,    ,   0,   0,       ROSA, S, 12, NEQ,   60,  120,  120,   90, 
EP, 20, 2018100212,   , BEST,   0, 293N, 1144W,  30, 1005, DB,  34, NEQ,    0,    0,    0,    0, 1008,  150,  50,  40,   0,   E,   0,    ,   0,   0,       ROSA, S,  0,    ,    0,    0,    0,    0, 
